condition,subcondition,time (s),Time_min,Time_h,Mean Intensity,Protein Concentration_ng_ul,Protein Concentration_nM,Number of Protein Molecules,Rate of Change of Protein Molecules per Second,Translation Rate aa_s,Unnamed: 0,frame,x [m]_mean,y [m]_mean,u [m/s]_mean,v [m/s]_mean,data type [-]_mean,vorticity [1/s]_mean,velocity magnitude [m/s]_mean,divergence [1/s]_mean,dcev [1]_mean,shear [1/s]_mean,strain [1/s]_mean,vector direction [degrees]_mean,correlation length [m]_mean,distance [m]_mean,power [W]_mean,work [J]_mean,time (min),time (h)
ThTr_40nM-RT,Rep1,91584,1526.4,25.44,494.18049812316895,15.769248663934537,229.20419569672288,275045034836.0675,754415.0815358018,2.292518800877812,3392,3392.0,0.0013947982071808,0.0014654757599169,-4.700508623570863e-09,-1.986369035812579e-09,1.0,-3.6914743349408304e-06,7.845651219698315e-09,4.880178334627159e-08,17.420302823102766,1.8995909522935024e-06,4.0582477050582585e-07,-10.932609596822116,0.0002304760485513,0.0038063892917436,2.3175888448313912e-21,3.5897072469197106e-15,1526.4,25.44
ThTr_40nM-RT,Rep1,91800,1530.0,25.5,494.4716024398804,15.778537772620131,229.3392118113391,275207054173.607,668199.1619133683,2.288471903520822,3400,3400.0,0.0013961225885086,0.0014672858108989,-3.9792665989667036e-09,-4.279952277228567e-09,1.0,-2.348655763724605e-06,8.185519635866643e-09,-3.812119592036018e-07,15.637072286764123,1.079634073213157e-06,1.0471423603835662e-06,-45.43448272662097,0.000231843669294,0.0038082169000622,2.4930559305083146e-21,3.589729042818752e-15,1530.0,25.5
ThTr_40nM-RT,Rep1,92016,1533.6,25.56,494.5212593078613,15.780122318149626,229.3622429963608,275234691595.633,627826.5489310235,2.2833291820111024,3408,3408.0,0.0013943897155417,0.0014696167430458,-2.5126393743373443e-09,-2.252074237861046e-09,1.0,-2.135419289802289e-06,7.074771582683657e-09,-1.4054218195337741e-07,14.424978053596982,1.1431645304653722e-06,8.25700736597893e-07,-16.479830034406167,0.0002328028392528,0.0038100687574888,1.8470484849452906e-21,3.5897516599288945e-15,1533.6,25.56
ThTr_40nM-RT,Rep1,92232,1537.2,25.62,494.8014736175537,15.789063927835793,229.49220825342712,275390649904.1126,634429.4001494764,2.279272596884065,3416,3416.0,0.0013958227845791,0.0014665764988055,-3.095759410121671e-09,-3.897350526125671e-10,1.0,-3.1049708252383897e-06,7.111060035054769e-09,4.4006065235079e-07,14.36312996699577,2.505172671178265e-06,1.19810989028378e-06,9.629477229488716,0.0002362965221708,0.0038117580418443,1.8112734726572804e-21,3.589769578416095e-15,1537.2,25.62
ThTr_40nM-RT,Rep1,92448,1540.8,25.68,495.1433742046356,15.799973940263468,229.65078401545736,275580940818.5488,669337.7850846027,2.275518457898914,3424,3424.0,0.0013957508226602,0.0014676036512345,-3.602330921301574e-09,-4.7438414809672856e-09,1.0,-1.8159945988966883e-06,7.802365885098621e-09,-2.852798617903381e-07,16.45909789623331,1.4346439851367814e-06,1.1105543379705838e-06,-50.49578033707392,0.0002408372871469,0.0038134204562335,2.0991098530110896e-21,3.589786343491119e-15,1540.8,25.68
ThTr_40nM-RT,Rep1,92664,1544.4,25.74,495.3798611164093,15.807520213197524,229.76046821508032,275712561858.0963,714071.1170413467,2.271298502890327,3432,3432.0,0.0013946726452658,0.0014688743604682,-5.2402710069774625e-09,-8.239711741703085e-09,1.0,-1.8910033157588727e-06,1.018325294302529e-08,-9.627697181567124e-08,15.266478435308503,2.47586807481236e-07,3.3309921723619106e-07,-82.31969271970353,0.0002427044476567,0.0038154034495894,3.5208505296647574e-21,3.5898099565511426e-15,1544.4,25.74
ThTr_40nM-RT,Rep1,92880,1548.0,25.8,495.6324722766876,15.815581009236304,229.87763094820207,275853157137.8425,760271.2427896982,2.2671719327396307,3440,3440.0,0.0013947224197111,0.0014688584444629,-8.10960284362155e-09,-2.3136388698404435e-09,1.0,-3.2701061967585263e-06,1.0025075391515626e-08,4.564557553191086e-07,13.794293656204209,8.487228484027372e-07,3.307851227844772e-07,-18.943910446296847,0.0002403560318655,0.0038172700998572,3.479326937000716e-21,3.5898308952133135e-15,1548.0,25.8
ThTr_40nM-RT,Rep1,93096,1551.6,25.86,495.9429421424866,15.825488070593511,230.02162893304524,276025954719.65424,800717.4512489144,2.263328560452202,3448,3448.0,0.0013963300932605,0.0014677740186462,-7.145137925717998e-09,2.85357869226326e-09,1.0,-4.132017391645942e-06,9.267966908337888e-09,1.4213615884974892e-06,13.823737999238515,-8.574653686132743e-07,-3.070396058798149e-07,48.40292589938945,0.0002343683383046,0.0038191902131778,3.127526965665912e-21,3.589854656515016e-15,1551.6,25.86
ThTr_40nM-RT,Rep1,93312,1555.2,25.92,496.3621406555176,15.838864651856111,230.2160559862807,276259267183.53687,821281.835278424,2.259998036493976,3456,3456.0,0.0013856689689609,0.0014650389721197,-3.740488723909733e-09,-7.659438379928127e-09,1.0,-7.13614994513915e-07,9.194776564763604e-09,2.478091362018981e-08,14.32490699555807,-1.046862449034329e-07,2.095940131677129e-07,-70.54653677779883,0.0002273994392194,0.0038210449875053,3.2698932700684365e-21,3.5898773911201465e-15,1555.2,25.92
ThTr_40nM-RT,Rep1,93528,1558.8,25.98,496.7305543422699,15.85062069455642,230.38692869994796,276464314439.9376,809141.6521832952,2.2564522004590337,3464,3464.0,0.0013609319353767,0.0014623233716907,-3.9318153492305904e-09,-1.461561773406635e-09,1.0,-2.9529577451424416e-06,7.497075390035321e-09,4.36171421732757e-08,15.287217155042285,2.3761786638847974e-07,-1.7247736380336351e-06,-9.54129876666893,0.0002241705344666,0.0038227782893172,2.2369521655294562e-21,3.589897887371461e-15,1558.8,25.98
