time (s),A-160.0nM,A-20.0nM,A-40.0nM,A-80.0nM,AcSu2-1.25nM,AcSu2-10.0nM,AcSu2-160.0nM,AcSu2-2.5nM,AcSu2-20.0nM,AcSu2-40.0nM,AcSu2-5.0nM,AcSu2-80.0nM,AdPa-1.25nM,AdPa-10.0nM,AdPa-160.0nM,AdPa-2.5nM,AdPa-20.0nM,AdPa-40.0nM,AdPa-5.0nM,AdPa-80.0nM,B-1.25nM,B-10.0nM,B-160.0nM,B-2.5nM,B-20.0nM,B-40.0nM,B-5.0nM,B-80.0nM,C-1.25nM,C-10.0nM,C-160.0nM,C-2.5nM,C-20.0nM,C-40.0nM,C-5.0nM,C-80.0nM,D-1.25nM,D-10.0nM,D-160.0nM,D-2.5nM,D-20.0nM,D-40.0nM,D-5.0nM,D-80.0nM,DiPu-1.25nM,DiPu-10.0nM,DiPu-160.0nM,DiPu-2.5nM,DiPu-20.0nM,DiPu-40.0nM,DiPu-5.0nM,DiPu-80.0nM,F-1.25nM,F-10.0nM,F-160.0nM,F-2.5nM,F-20.0nM,F-40.0nM,F-5.0nM,F-80.0nM,G-1.25nM,G-10.0nM,G-160.0nM,G-2.5nM,G-20.0nM,G-40.0nM,G-5.0nM,G-80.0nM,H-1.25nM,H-10.0nM,H-160.0nM,H-2.5nM,H-20.0nM,H-40.0nM,H-5.0nM,H-80.0nM,HeAl-1.25nM,HeAl-10.0nM,HeAl-160.0nM,HeAl-2.5nM,HeAl-20.0nM,HeAl-40.0nM,HeAl-5.0nM,HeAl-80.0nM,NaGr-1.25nM,NaGr-10.0nM,NaGr-160.0nM,NaGr-2.5nM,NaGr-20.0nM,NaGr-40.0nM,NaGr-5.0nM,NaGr-80.0nM,ThTr-1.25nM,ThTr-10.0nM,ThTr-160.0nM,ThTr-2.5nM,ThTr-20.0nM,ThTr-40.0nM,ThTr-5.0nM,ThTr-8.0nM,ThTr-80.0nM,ThTr-85.0nM,Unc-10.0nM,Unc-20.0nM,Unc-40.0nM,Unc-80.0nM
204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010698674492721953,7.504555825089673e-05,8.25627627503966e-05,3.0195426363970766e-05,1.7746333441303278e-05,3.551103178487365e-05,1.920129586408749e-05,0.0,,,,,,,,,,,,,,
210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000144047360949217,0.00011776633444960704,0.0001097943857806847,5.005834519720955e-05,7.09555364072255e-05,5.7496373859776755e-05,6.132904382794877e-05,6.99949668832619e-05,,,,,,,,,,,,,,
216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7204129827806015e-05,2.466941510912926e-05,5.8541348961053603e-05,8.811893622883213e-05,6.214646441171023e-05,0.00010227778939053166,7.232280946222425e-05,7.513190977811926e-05,,,,,,,,,,,,,,
222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.487916621362736e-05,5.141151011536713e-05,0.0,2.8851261464144964e-05,5.996566267276861e-05,4.250441089317312e-05,9.443232746571225e-05,2.936353277775985e-05,,,,,,,,,,,,,,
228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.296545941975925e-05,0.00012003446069072679,1.5919572963978093e-05,0.00010941139851416602,3.1747807904089744e-05,2.6042282770117338e-05,6.444864477624257e-05,0.00010905164102469049,,,,,,,,,,,,,,
234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.363294687869175e-05,2.0712934077981572e-05,5.0868954956288974e-05,1.3163621404977443e-05,8.48676187960548e-05,6.533174116944188e-05,9.89988637934155e-05,6.601185066273048e-05,,,,,,,,,,,,,,
240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013629883165425244,0.00036305307726902143,7.398842096268706e-05,0.0002008481793383001,2.9614925181645066e-07,0.0,0.00025348928655258485,0.00028679798952764546,,,,,,,,,,,,,,,,,,,,,,,,,0.00022061003039812598,0.00011216735007316666,0.00010856332921933536,0.0003939186401329982,6.546491711635903e-05,5.379177172000916e-05,2.4347603642883484e-05,0.0,0.00010307684507202412,9.386897496698247e-06,1.552636946043681e-05,3.187101085772047e-05,0.00012182777515398528,3.601965444240897e-05,0.0,9.027407575334657e-05,8.01445551225234e-05,0.00010370465716150185,8.044666384593724e-05,4.753201572750333e-05,0.0,1.174867257720342e-06,0.0001059474860538027,7.163236211004236e-05,,,,,,,,,,,,,,
246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.519833529881452e-05,0.00011312086552870777,0.00010693675833892527,0.00011556205968988325,0.00011216430952643392,8.739929962801182e-05,4.952077653477484e-05,7.685954843194178e-05,,,,,,,,,,,,,,
252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.304488516044439e-05,0.00010850750478131229,7.487626060879033e-05,6.172492301261402e-05,8.20714103983073e-05,4.483249671587259e-05,1.2423673951979329e-05,6.353404831888632e-05,,,,,,,,,,,,,,
258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.903016057391415e-05,9.21019308274952e-05,0.0001334357312283739,0.00012148176093574407,9.395678595663535e-05,5.157241584848907e-05,0.00011130748345700908,1.6173154561528465e-05,,,,,,,,,,,,,,
